res/airport-time-windows/0/alpha_-1.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_-10000.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_0.1.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_0.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_1.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_10000.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_f_-1.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_f_-10000.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_f_0.1.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_f_0.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_f_1.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_f_10000.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_ms_-1.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_ms_-10000.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_ms_0.1.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_ms_0.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_ms_1.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/alpha_ms_10000.log,;;;; Solution Found,,0.01,6,4,7,64.009
res/airport-time-windows/0/h.log,;;;; Solution Found,,0.01,4,3,5,64.008
res/airport-time-windows/0/h_fs.log,;;;; Solution Found,,0.01,4,3,5,64.008
res/airport-time-windows/0/h_ms.log,;;;; Solution Found,,0.01,4,3,5,64.008
res/airport-time-windows/1/alpha_-1.log,;;;; Solution Found,,0.03,445,101,443,177.029
res/airport-time-windows/1/alpha_-10000.log,;;;; Solution Found,,0.02,445,101,443,177.029
res/airport-time-windows/1/alpha_0.1.log,;;;; Solution Found,,0.03,445,101,443,177.029
res/airport-time-windows/1/alpha_0.log,;;;; Solution Found,,0.03,445,101,443,177.029
res/airport-time-windows/1/alpha_1.log,;;;; Solution Found,,0.03,445,101,443,177.03
res/airport-time-windows/1/alpha_10000.log,;;;; Solution Found,,0.03,445,101,443,177.03
res/airport-time-windows/1/alpha_f_-1.log,;;;; Solution Found,,0.03,445,101,443,177.029
res/airport-time-windows/1/alpha_f_-10000.log,;;;; Solution Found,,0.03,445,101,443,177.029
res/airport-time-windows/1/alpha_f_0.1.log,;;;; Solution Found,,0.03,445,101,443,177.029
res/airport-time-windows/1/alpha_f_0.log,;;;; Solution Found,,0.03,445,101,443,177.029
res/airport-time-windows/1/alpha_f_1.log,;;;; Solution Found,,0.03,445,101,443,177.029
res/airport-time-windows/1/alpha_f_10000.log,;;;; Solution Found,,0.03,445,101,443,177.03
res/airport-time-windows/1/alpha_ms_-1.log,;;;; Solution Found,,0.03,445,101,443,177.029
res/airport-time-windows/1/alpha_ms_-10000.log,;;;; Solution Found,,0.03,445,101,443,177.029
res/airport-time-windows/1/alpha_ms_0.1.log,;;;; Solution Found,,0.03,445,101,443,177.029
res/airport-time-windows/1/alpha_ms_0.log,;;;; Solution Found,,0.03,445,101,443,177.029
res/airport-time-windows/1/alpha_ms_1.log,;;;; Solution Found,,0.03,445,101,443,177.03
res/airport-time-windows/1/alpha_ms_10000.log,;;;; Solution Found,,0.03,445,101,443,177.03
res/airport-time-windows/1/h.log,;;;; Solution Found,,0.01,21,9,21,185.01
res/airport-time-windows/1/h_fs.log,;;;; Solution Found,,0.01,21,9,21,185.01
res/airport-time-windows/1/h_ms.log,;;;; Solution Found,,0.01,21,9,21,185.01
res/airport-time-windows/10/alpha_-1.log,;;;; Solution Found,,0.17,185,128,185,128.066
res/airport-time-windows/10/alpha_-10000.log,;;;; Solution Found,,0.17,185,128,185,128.066
res/airport-time-windows/10/alpha_0.1.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_0.log,;;;; Solution Found,,0.17,185,128,185,128.067
res/airport-time-windows/10/alpha_1.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_10000.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_f_-1.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_f_-10000.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_f_0.1.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_f_0.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_f_1.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_f_10000.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_ms_-1.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_ms_-10000.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_ms_0.1.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_ms_0.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_ms_1.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/alpha_ms_10000.log,;;;; Solution Found,,0.17,185,128,185,128.065
res/airport-time-windows/10/h.log,;;;; Solution Found,,0.15,89,42,89,128.047
res/airport-time-windows/10/h_fs.log,;;;; Solution Found,,0.15,89,42,89,128.047
res/airport-time-windows/10/h_ms.log,;;;; Solution Found,,0.16,89,42,89,128.047
res/airport-time-windows/11/alpha_-1.log,;;;; Solution Found,,0.31,578,169,575,239.188
res/airport-time-windows/11/alpha_-10000.log,;;;; Solution Found,,0.31,578,169,575,239.189
res/airport-time-windows/11/alpha_0.1.log,;;;; Solution Found,,0.30,578,169,575,239.188
res/airport-time-windows/11/alpha_0.log,;;;; Solution Found,,0.31,578,169,575,239.191
res/airport-time-windows/11/alpha_1.log,;;;; Solution Found,,0.31,578,169,575,239.188
res/airport-time-windows/11/alpha_10000.log,;;;; Solution Found,,0.31,578,169,575,239.19
res/airport-time-windows/11/alpha_f_-1.log,;;;; Solution Found,,0.30,578,169,575,239.189
res/airport-time-windows/11/alpha_f_-10000.log,;;;; Solution Found,,0.31,578,169,575,239.193
res/airport-time-windows/11/alpha_f_0.1.log,;;;; Solution Found,,0.31,578,169,575,239.188
res/airport-time-windows/11/alpha_f_0.log,;;;; Solution Found,,0.31,578,169,575,239.189
res/airport-time-windows/11/alpha_f_1.log,;;;; Solution Found,,0.30,578,169,575,239.189
res/airport-time-windows/11/alpha_f_10000.log,;;;; Solution Found,,0.31,578,169,575,239.189
res/airport-time-windows/11/alpha_ms_-1.log,;;;; Solution Found,,0.31,578,169,575,239.188
res/airport-time-windows/11/alpha_ms_-10000.log,;;;; Solution Found,,0.31,578,169,575,239.188
res/airport-time-windows/11/alpha_ms_0.1.log,;;;; Solution Found,,0.31,578,169,575,239.189
res/airport-time-windows/11/alpha_ms_0.log,;;;; Solution Found,,0.31,578,169,575,239.188
res/airport-time-windows/11/alpha_ms_1.log,;;;; Solution Found,,0.31,578,169,575,239.189
res/airport-time-windows/11/alpha_ms_10000.log,;;;; Solution Found,,0.31,578,169,575,239.189
res/airport-time-windows/11/h.log,;;;; Solution Found,,0.20,135,50,132,258.078
res/airport-time-windows/11/h_fs.log,;;;; Solution Found,,0.20,135,50,132,258.078
res/airport-time-windows/11/h_ms.log,;;;; Solution Found,,0.19,135,50,132,258.078
res/airport-time-windows/12/alpha_-1.log,,,,,,,0
res/airport-time-windows/12/alpha_-10000.log,,,,,,,0
res/airport-time-windows/12/alpha_0.1.log,,,,,,,0
res/airport-time-windows/12/alpha_0.log,,,,,,,0
res/airport-time-windows/12/alpha_1.log,,,,,,,0
res/airport-time-windows/12/alpha_10000.log,,,,,,,0
res/airport-time-windows/12/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/12/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/12/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/12/alpha_f_0.log,,,,,,,0
res/airport-time-windows/12/alpha_f_1.log,,,,,,,0
res/airport-time-windows/12/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/12/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/12/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/12/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/12/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/12/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/12/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/12/h.log,,,,,,,0
res/airport-time-windows/12/h_fs.log,,,,,,,0
res/airport-time-windows/12/h_ms.log,,,,,,,0
res/airport-time-windows/13/alpha_-1.log,,,,,,,0
res/airport-time-windows/13/alpha_-10000.log,,,,,,,0
res/airport-time-windows/13/alpha_0.1.log,,,,,,,0
res/airport-time-windows/13/alpha_0.log,,,,,,,0
res/airport-time-windows/13/alpha_1.log,,,,,,,0
res/airport-time-windows/13/alpha_10000.log,,,,,,,0
res/airport-time-windows/13/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/13/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/13/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/13/alpha_f_0.log,,,,,,,0
res/airport-time-windows/13/alpha_f_1.log,,,,,,,0
res/airport-time-windows/13/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/13/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/13/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/13/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/13/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/13/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/13/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/13/h.log,,,,,,,0
res/airport-time-windows/13/h_fs.log,,,,,,,0
res/airport-time-windows/13/h_ms.log,,,,,,,0
res/airport-time-windows/14/alpha_-1.log,,,,,,,0
res/airport-time-windows/14/alpha_-10000.log,,,,,,,0
res/airport-time-windows/14/alpha_0.1.log,,,,,,,0
res/airport-time-windows/14/alpha_0.log,,,,,,,0
res/airport-time-windows/14/alpha_1.log,,,,,,,0
res/airport-time-windows/14/alpha_10000.log,,,,,,,0
res/airport-time-windows/14/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/14/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/14/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/14/alpha_f_0.log,,,,,,,0
res/airport-time-windows/14/alpha_f_1.log,,,,,,,0
res/airport-time-windows/14/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/14/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/14/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/14/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/14/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/14/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/14/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/14/h.log,,,,,,,0
res/airport-time-windows/14/h_fs.log,,,,,,,0
res/airport-time-windows/14/h_ms.log,,,,,,,0
res/airport-time-windows/15/alpha_-1.log,,,,,,,0
res/airport-time-windows/15/alpha_-10000.log,,,,,,,0
res/airport-time-windows/15/alpha_0.1.log,,,,,,,0
res/airport-time-windows/15/alpha_0.log,,,,,,,0
res/airport-time-windows/15/alpha_1.log,,,,,,,0
res/airport-time-windows/15/alpha_10000.log,,,,,,,0
res/airport-time-windows/15/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/15/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/15/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/15/alpha_f_0.log,,,,,,,0
res/airport-time-windows/15/alpha_f_1.log,,,,,,,0
res/airport-time-windows/15/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/15/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/15/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/15/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/15/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/15/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/15/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/15/h.log,,,,,,,0
res/airport-time-windows/15/h_fs.log,,,,,,,0
res/airport-time-windows/15/h_ms.log,,,,,,,0
res/airport-time-windows/16/alpha_-1.log,,,,,,,0
res/airport-time-windows/16/alpha_-10000.log,,,,,,,0
res/airport-time-windows/16/alpha_0.1.log,,,,,,,0
res/airport-time-windows/16/alpha_0.log,,,,,,,0
res/airport-time-windows/16/alpha_1.log,,,,,,,0
res/airport-time-windows/16/alpha_10000.log,,,,,,,0
res/airport-time-windows/16/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/16/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/16/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/16/alpha_f_0.log,,,,,,,0
res/airport-time-windows/16/alpha_f_1.log,,,,,,,0
res/airport-time-windows/16/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/16/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/16/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/16/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/16/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/16/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/16/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/16/h.log,,,,,,,0
res/airport-time-windows/16/h_fs.log,,,,,,,0
res/airport-time-windows/16/h_ms.log,,,,,,,0
res/airport-time-windows/17/alpha_-1.log,,,,,,,0
res/airport-time-windows/17/alpha_-10000.log,,,,,,,0
res/airport-time-windows/17/alpha_0.1.log,,,,,,,0
res/airport-time-windows/17/alpha_0.log,,,,,,,0
res/airport-time-windows/17/alpha_1.log,,,,,,,0
res/airport-time-windows/17/alpha_10000.log,,,,,,,0
res/airport-time-windows/17/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/17/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/17/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/17/alpha_f_0.log,,,,,,,0
res/airport-time-windows/17/alpha_f_1.log,,,,,,,0
res/airport-time-windows/17/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/17/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/17/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/17/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/17/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/17/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/17/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/17/h.log,,,,,,,0
res/airport-time-windows/17/h_fs.log,,,,,,,0
res/airport-time-windows/17/h_ms.log,,,,,,,0
res/airport-time-windows/18/alpha_-1.log,,,,,,,0
res/airport-time-windows/18/alpha_-10000.log,,,,,,,0
res/airport-time-windows/18/alpha_0.1.log,,,,,,,0
res/airport-time-windows/18/alpha_0.log,,,,,,,0
res/airport-time-windows/18/alpha_1.log,,,,,,,0
res/airport-time-windows/18/alpha_10000.log,,,,,,,0
res/airport-time-windows/18/alpha_f_-1.log,,,,,,,0
