res/airport-time-windows/0/alpha_-1.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_-10000.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_0.1.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_0.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_1.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_10000.log,;;;; Solution Found,,0.03,6,4,7,64.013
res/airport-time-windows/0/alpha_f_-1.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_f_-10000.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_f_0.1.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_f_0.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_f_1.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_f_10000.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_ms_-1.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_ms_-10000.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_ms_0.1.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_ms_0.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_ms_1.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/alpha_ms_10000.log,;;;; Solution Found,,0.04,6,4,7,64.013
res/airport-time-windows/0/h.log,;;;; Solution Found,,0.04,4,3,5,64.012
res/airport-time-windows/0/h_fs.log,;;;; Solution Found,,0.04,4,3,5,64.012
res/airport-time-windows/0/h_ms.log,;;;; Solution Found,,0.04,4,3,5,64.012
res/airport-time-windows/1/alpha_-1.log,;;;; Solution Found,,0.10,445,101,443,177.078
res/airport-time-windows/1/alpha_-10000.log,;;;; Solution Found,,0.11,445,101,443,177.078
res/airport-time-windows/1/alpha_0.1.log,;;;; Solution Found,,0.11,445,101,443,177.078
res/airport-time-windows/1/alpha_0.log,;;;; Solution Found,,0.10,445,101,443,177.077
res/airport-time-windows/1/alpha_1.log,;;;; Solution Found,,0.10,445,101,443,177.076
res/airport-time-windows/1/alpha_10000.log,;;;; Solution Found,,0.11,445,101,443,177.076
res/airport-time-windows/1/alpha_f_-1.log,;;;; Solution Found,,0.11,445,101,443,177.076
res/airport-time-windows/1/alpha_f_-10000.log,;;;; Solution Found,,0.11,445,101,443,177.077
res/airport-time-windows/1/alpha_f_0.1.log,;;;; Solution Found,,0.11,445,101,443,177.077
res/airport-time-windows/1/alpha_f_0.log,;;;; Solution Found,,0.11,445,101,443,177.076
res/airport-time-windows/1/alpha_f_1.log,;;;; Solution Found,,0.10,445,101,443,177.073
res/airport-time-windows/1/alpha_f_10000.log,;;;; Solution Found,,0.11,445,101,443,177.078
res/airport-time-windows/1/alpha_ms_-1.log,;;;; Solution Found,,0.11,445,101,443,177.078
res/airport-time-windows/1/alpha_ms_-10000.log,;;;; Solution Found,,0.10,445,101,443,177.076
res/airport-time-windows/1/alpha_ms_0.1.log,;;;; Solution Found,,0.10,445,101,443,177.076
res/airport-time-windows/1/alpha_ms_0.log,;;;; Solution Found,,0.11,445,101,443,177.077
res/airport-time-windows/1/alpha_ms_1.log,;;;; Solution Found,,0.11,445,101,443,177.077
res/airport-time-windows/1/alpha_ms_10000.log,;;;; Solution Found,,0.11,445,101,443,177.076
res/airport-time-windows/1/h.log,;;;; Solution Found,,0.05,21,9,21,185.017
res/airport-time-windows/1/h_fs.log,;;;; Solution Found,,0.05,21,9,21,185.017
res/airport-time-windows/1/h_ms.log,;;;; Solution Found,,0.05,21,9,21,185.017
res/airport-time-windows/10/alpha_-1.log,;;;; Solution Found,,0.61,185,128,185,128.17
res/airport-time-windows/10/alpha_-10000.log,;;;; Solution Found,,0.61,185,128,185,128.168
res/airport-time-windows/10/alpha_0.1.log,;;;; Solution Found,,0.55,185,128,185,128.155
res/airport-time-windows/10/alpha_0.log,;;;; Solution Found,,0.61,185,128,185,128.173
res/airport-time-windows/10/alpha_1.log,;;;; Solution Found,,0.57,185,128,185,128.165
res/airport-time-windows/10/alpha_10000.log,;;;; Solution Found,,0.53,185,128,185,128.161
res/airport-time-windows/10/alpha_f_-1.log,;;;; Solution Found,,0.53,185,128,185,128.159
res/airport-time-windows/10/alpha_f_-10000.log,;;;; Solution Found,,0.52,185,128,185,128.155
res/airport-time-windows/10/alpha_f_0.1.log,;;;; Solution Found,,0.60,185,128,185,128.17
res/airport-time-windows/10/alpha_f_0.log,;;;; Solution Found,,0.61,185,128,185,128.17
res/airport-time-windows/10/alpha_f_1.log,;;;; Solution Found,,0.55,185,128,185,128.155
res/airport-time-windows/10/alpha_f_10000.log,;;;; Solution Found,,0.55,185,128,185,128.154
res/airport-time-windows/10/alpha_ms_-1.log,;;;; Solution Found,,0.60,185,128,185,128.169
res/airport-time-windows/10/alpha_ms_-10000.log,;;;; Solution Found,,0.57,185,128,185,128.165
res/airport-time-windows/10/alpha_ms_0.1.log,;;;; Solution Found,,0.52,185,128,185,128.155
res/airport-time-windows/10/alpha_ms_0.log,;;;; Solution Found,,0.60,185,128,185,128.168
res/airport-time-windows/10/alpha_ms_1.log,;;;; Solution Found,,0.52,185,128,185,128.159
res/airport-time-windows/10/alpha_ms_10000.log,;;;; Solution Found,,0.61,185,128,185,128.173
res/airport-time-windows/10/h.log,;;;; Solution Found,,0.54,89,42,89,128.111
res/airport-time-windows/10/h_fs.log,;;;; Solution Found,,0.53,89,42,89,128.109
res/airport-time-windows/10/h_ms.log,;;;; Solution Found,,0.47,89,42,89,128.106
res/airport-time-windows/11/alpha_-1.log,;;;; Solution Found,,0.95,578,169,575,239.523
res/airport-time-windows/11/alpha_-10000.log,;;;; Solution Found,,0.94,578,169,575,239.515
res/airport-time-windows/11/alpha_0.1.log,;;;; Solution Found,,0.97,578,169,575,239.529
res/airport-time-windows/11/alpha_0.log,;;;; Solution Found,,0.97,578,169,575,239.521
res/airport-time-windows/11/alpha_1.log,;;;; Solution Found,,0.97,578,169,575,239.525
res/airport-time-windows/11/alpha_10000.log,;;;; Solution Found,,1.07,578,169,575,239.577
res/airport-time-windows/11/alpha_f_-1.log,;;;; Solution Found,,1.07,578,169,575,239.571
res/airport-time-windows/11/alpha_f_-10000.log,;;;; Solution Found,,0.96,578,169,575,239.516
res/airport-time-windows/11/alpha_f_0.1.log,;;;; Solution Found,,1.04,578,169,575,239.554
res/airport-time-windows/11/alpha_f_0.log,;;;; Solution Found,,1.03,578,169,575,239.558
res/airport-time-windows/11/alpha_f_1.log,;;;; Solution Found,,0.96,578,169,575,239.517
res/airport-time-windows/11/alpha_f_10000.log,;;;; Solution Found,,0.97,578,169,575,239.521
res/airport-time-windows/11/alpha_ms_-1.log,;;;; Solution Found,,1.04,578,169,575,239.56
res/airport-time-windows/11/alpha_ms_-10000.log,;;;; Solution Found,,1.07,578,169,575,239.573
res/airport-time-windows/11/alpha_ms_0.1.log,;;;; Solution Found,,1.06,578,169,575,239.57
res/airport-time-windows/11/alpha_ms_0.log,;;;; Solution Found,,1.07,578,169,575,239.57
res/airport-time-windows/11/alpha_ms_1.log,;;;; Solution Found,,0.93,578,169,575,239.515
res/airport-time-windows/11/alpha_ms_10000.log,;;;; Solution Found,,0.96,578,169,575,239.538
res/airport-time-windows/11/h.log,;;;; Solution Found,,0.70,135,50,132,258.21
res/airport-time-windows/11/h_fs.log,;;;; Solution Found,,0.70,135,50,132,258.209
res/airport-time-windows/11/h_ms.log,;;;; Solution Found,,0.61,135,50,132,258.193
res/airport-time-windows/12/alpha_-1.log,,,,,,,0
res/airport-time-windows/12/alpha_-10000.log,,,,,,,0
res/airport-time-windows/12/alpha_0.1.log,,,,,,,0
res/airport-time-windows/12/alpha_0.log,,,,,,,0
res/airport-time-windows/12/alpha_1.log,,,,,,,0
res/airport-time-windows/12/alpha_10000.log,,,,,,,0
res/airport-time-windows/12/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/12/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/12/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/12/alpha_f_0.log,,,,,,,0
res/airport-time-windows/12/alpha_f_1.log,,,,,,,0
res/airport-time-windows/12/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/12/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/12/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/12/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/12/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/12/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/12/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/12/h.log,,,,,,,0
res/airport-time-windows/12/h_fs.log,,,,,,,0
res/airport-time-windows/12/h_ms.log,,,,,,,0
res/airport-time-windows/13/alpha_-1.log,,,,,,,0
res/airport-time-windows/13/alpha_-10000.log,,,,,,,0
res/airport-time-windows/13/alpha_0.1.log,,,,,,,0
res/airport-time-windows/13/alpha_0.log,,,,,,,0
res/airport-time-windows/13/alpha_1.log,,,,,,,0
res/airport-time-windows/13/alpha_10000.log,,,,,,,0
res/airport-time-windows/13/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/13/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/13/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/13/alpha_f_0.log,,,,,,,0
res/airport-time-windows/13/alpha_f_1.log,,,,,,,0
res/airport-time-windows/13/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/13/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/13/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/13/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/13/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/13/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/13/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/13/h.log,,,,,,,0
res/airport-time-windows/13/h_fs.log,,,,,,,0
res/airport-time-windows/13/h_ms.log,,,,,,,0
res/airport-time-windows/14/alpha_-1.log,,,,,,,0
res/airport-time-windows/14/alpha_-10000.log,,,,,,,0
res/airport-time-windows/14/alpha_0.1.log,,,,,,,0
res/airport-time-windows/14/alpha_0.log,,,,,,,0
res/airport-time-windows/14/alpha_1.log,,,,,,,0
res/airport-time-windows/14/alpha_10000.log,,,,,,,0
res/airport-time-windows/14/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/14/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/14/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/14/alpha_f_0.log,,,,,,,0
res/airport-time-windows/14/alpha_f_1.log,,,,,,,0
res/airport-time-windows/14/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/14/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/14/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/14/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/14/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/14/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/14/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/14/h.log,,,,,,,0
res/airport-time-windows/14/h_fs.log,,,,,,,0
res/airport-time-windows/14/h_ms.log,,,,,,,0
res/airport-time-windows/15/alpha_-1.log,,,,,,,0
res/airport-time-windows/15/alpha_-10000.log,,,,,,,0
res/airport-time-windows/15/alpha_0.1.log,,,,,,,0
res/airport-time-windows/15/alpha_0.log,,,,,,,0
res/airport-time-windows/15/alpha_1.log,,,,,,,0
res/airport-time-windows/15/alpha_10000.log,,,,,,,0
res/airport-time-windows/15/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/15/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/15/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/15/alpha_f_0.log,,,,,,,0
res/airport-time-windows/15/alpha_f_1.log,,,,,,,0
res/airport-time-windows/15/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/15/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/15/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/15/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/15/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/15/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/15/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/15/h.log,,,,,,,0
res/airport-time-windows/15/h_fs.log,,,,,,,0
res/airport-time-windows/15/h_ms.log,,,,,,,0
res/airport-time-windows/16/alpha_-1.log,,,,,,,0
res/airport-time-windows/16/alpha_-10000.log,,,,,,,0
res/airport-time-windows/16/alpha_0.1.log,,,,,,,0
res/airport-time-windows/16/alpha_0.log,,,,,,,0
res/airport-time-windows/16/alpha_1.log,,,,,,,0
res/airport-time-windows/16/alpha_10000.log,,,,,,,0
res/airport-time-windows/16/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/16/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/16/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/16/alpha_f_0.log,,,,,,,0
res/airport-time-windows/16/alpha_f_1.log,,,,,,,0
res/airport-time-windows/16/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/16/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/16/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/16/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/16/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/16/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/16/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/16/h.log,,,,,,,0
