res/rcll-1-robots/0/cope__eps_1000__disp_false.log,;;;; Solution Found,,1.02,1747,632,1765,117.103,0.04676,0.632
res/rcll-1-robots/0/cope__eps_1000__disp_true__dispThreshold_0.025.log,;;;; Solution Found,,0.96,1747,640,1765,117.111,0.048758,0.640
res/rcll-1-robots/0/cope__eps_1000__disp_true__dispThreshold_0.1.log,;;;; Solution Found,,1.01,1747,632,1765,117.103,0.045812,0.632
res/rcll-1-robots/0/cope__eps_1000__disp_true__dispThreshold_0.25.log,;;;; Solution Found,,1.01,1747,632,1765,117.103,0.041773,0.632
res/rcll-1-robots/0/cope__eps_100__disp_false.log,,;;;; Problem Unsolvable,0.96,1624,593,1607,0,,
res/rcll-1-robots/0/cope__eps_100__disp_true__dispThreshold_0.025.log,,,,,,,26,,
res/rcll-1-robots/0/cope__eps_100__disp_true__dispThreshold_0.1.log,,,,,,,26,,
res/rcll-1-robots/0/cope__eps_100__disp_true__dispThreshold_0.25.log,,;;;; Problem Unsolvable,1.72,2720,1065,2733,0,,
res/rcll-1-robots/0/cope__eps_10__disp_false.log,,;;;; Problem Unsolvable,0.21,342,73,313,0,,
res/rcll-1-robots/0/cope__eps_10__disp_true__dispThreshold_0.025.log,,;;;; Problem Unsolvable,0.21,342,73,313,0,,
res/rcll-1-robots/0/cope__eps_10__disp_true__dispThreshold_0.1.log,,;;;; Problem Unsolvable,0.22,342,73,313,0,,
res/rcll-1-robots/0/cope__eps_10__disp_true__dispThreshold_0.25.log,,;;;; Problem Unsolvable,0.20,342,73,313,0,,
res/rcll-1-robots/0/cope__eps_200__disp_false.log,;;;; Solution Found,,1.23,2032,709,2038,122.199,0.036715,3.545
res/rcll-1-robots/0/cope__eps_200__disp_true__dispThreshold_0.025.log,,;;;; Problem Unsolvable,1.01,2397,1094,2411,0,,
res/rcll-1-robots/0/cope__eps_200__disp_true__dispThreshold_0.1.log,,,,,,,18,,
res/rcll-1-robots/0/cope__eps_200__disp_true__dispThreshold_0.25.log,,,,,,,6,,
res/rcll-1-robots/0/cope__eps_20__disp_false.log,,;;;; Problem Unsolvable,0.28,500,130,467,0,,
res/rcll-1-robots/0/cope__eps_20__disp_true__dispThreshold_0.025.log,,;;;; Problem Unsolvable,0.76,1197,453,1206,0,,
res/rcll-1-robots/0/cope__eps_20__disp_true__dispThreshold_0.1.log,,;;;; Problem Unsolvable,0.76,1197,453,1206,0,,
res/rcll-1-robots/0/cope__eps_20__disp_true__dispThreshold_0.25.log,,;;;; Problem Unsolvable,0.33,998,385,1000,0,,
res/rcll-1-robots/0/cope__eps_300__disp_false.log,;;;; Solution Found,,1.25,1973,740,1992,124.851,0.06248,2.467
res/rcll-1-robots/0/cope__eps_300__disp_true__dispThreshold_0.025.log,;;;; Solution Found,,1.70,2438,1217,2469,123.645,0.041493,4.057
res/rcll-1-robots/0/cope__eps_300__disp_true__dispThreshold_0.1.log,;;;; Solution Found,,0.70,1932,864,1950,124.462,0.028498,2.880
res/rcll-1-robots/0/cope__eps_300__disp_true__dispThreshold_0.25.log,;;;; Solution Found,,5.81,5599,1727,5631,1123.33,1.04557,5.757
res/rcll-1-robots/0/cope__eps_500__disp_false.log,,;;;; Problem Unsolvable,5.09,8316,3030,8014,0,,
res/rcll-1-robots/0/cope__eps_500__disp_true__dispThreshold_0.025.log,;;;; Solution Found,,1.20,1822,820,1840,125.348,0.043705,1.640
res/rcll-1-robots/0/cope__eps_500__disp_true__dispThreshold_0.1.log,,;;;; Problem Unsolvable,2.47,3470,1918,3507,0,,
